Signrt	Part	KeyType	Signup	ProdSubarea	GuideTime	Neighborhood	LowIncome	Minority	ZoneFare	AnnRides	AnnRevHrs	AnnFareRev	AnnOpCost	AnnPassMiles	AnnSeatMiles	AnnTrips	AnnPlatHrs	AnnPlatMile	AnnRevMile	AnnSeats	RidesPerRevHr	FR/OE	PassMilesPerRevHrs	PassMilesPerSeatMile	RidesPerTrip	RevHrsPerPlatHr	RidesPerPlatHr	SeatsPerTrip	PassMilesPerPlatMile	AverageLoad
1	 		2010.3	WEST	Night	Kinnear	Yes	No	One-Zone	251,878	3,978	$234,650	$800,450	296,291	1,849,341	11,943	6,543	44,582	44,032	501,606	63.32	29%	74.48	0.16	21.09	0.61	38.50	42.0	6.65	6.73
1	 		2010.3	WEST	OffPeak	Kinnear	Yes	No	One-Zone	559,157	5,312	$520,911	$1,045,734	836,492	2,374,598	15,538	8,604	56,579	56,538	652,596	105.26	50%	157.46	0.35	35.99	0.62	64.99	42.0	14.78	14.80
1	 		2010.3	WEST	Peak	Kinnear	Yes	No	One-Zone	323,436	3,052	$466,460	$522,091	512,167	1,284,986	8,415	4,216	30,595	30,595	353,430	105.99	89%	167.84	0.40	38.44	0.72	76.72	42.0	16.74	16.74
2	N		2010.3	WEST	Night	West Queen Anne	Yes	No	One-Zone	224,577	4,250	$209,665	$730,980	291,424	1,820,550	12,386	5,851	44,373	43,346	520,212	52.85	29%	68.58	0.16	18.13	0.73	38.38	42.0	6.57	6.72
2	N		2010.3	WEST	OffPeak	West Queen Anne	Yes	No	One-Zone	493,477	4,327	$460,710	$780,589	618,743	1,719,367	12,014	6,464	41,014	40,937	504,588	114.03	59%	142.98	0.36	41.08	0.67	76.34	42.0	15.09	15.11
2	N		2010.3	WEST	Peak	West Queen Anne	Yes	No	One-Zone	225,304	2,423	$375,559	$404,604	255,963	898,080	6,032	3,322	22,109	21,383	253,344	93.00	93%	105.65	0.29	37.35	0.73	67.83	42.0	11.58	11.97
2	N	EX	2010.3	WEST	Peak	West Queen Anne	Yes	No	One-Zone	206,834	2,836	$326,255	$787,800	369,512	1,402,881	5,681	6,504	65,966	24,396	328,510	72.92	41%	130.28	0.26	36.41	0.44	31.80	57.8	5.60	15.15
2	S		2010.3	WEST	Night	Madrona	No	No	One-Zone	195,266	4,299	$182,300	$826,559	282,526	1,782,400	12,448	6,716	47,223	42,438	522,816	45.42	22%	65.72	0.16	15.69	0.64	29.08	42.0	5.98	6.66
2	S		2010.3	WEST	OffPeak	Madrona	No	No	One-Zone	661,541	7,913	$617,615	$1,329,159	891,797	3,110,978	20,798	10,826	75,163	74,071	873,516	83.60	46%	112.70	0.29	31.81	0.73	61.11	42.0	11.86	12.04
2	S		2010.3	WEST	Peak	Madrona	No	No	One-Zone	453,303	5,419	$755,611	$881,401	592,143	1,948,897	12,933	7,184	49,699	46,402	543,186	83.65	86%	109.27	0.30	35.05	0.75	63.10	42.0	11.91	12.76
3	N		2010.3	WEST	Night	North Queen Anne	No	No	One-Zone	101,917	1,762	$92,755	$338,992	119,244	749,256	5,328	2,800	18,027	17,839	223,776	57.84	27%	67.68	0.16	19.13	0.63	36.40	42.0	6.61	6.68
3	N		2010.3	WEST	OffPeak	North Queen Anne	No	No	One-Zone	287,537	3,128	$261,688	$507,572	363,081	1,221,197	8,858	4,121	29,076	29,076	372,036	91.93	52%	116.08	0.30	32.46	0.76	69.77	42.0	12.49	12.49
3	N		2010.3	WEST	Peak	North Queen Anne	No	No	One-Zone	272,434	2,833	$380,780	$456,623	325,444	1,077,335	7,626	3,697	26,460	25,651	320,292	96.17	83%	114.89	0.30	35.72	0.77	73.68	42.0	12.30	12.69
3	S		2010.3	WEST	Night	Madrona	Yes	Yes	One-Zone	173,385	3,824	$157,798	$776,457	182,831	1,428,095	10,868	6,390	41,969	34,002	456,456	45.34	20%	47.81	0.13	15.95	0.60	27.13	42.0	4.36	5.38
3	S		2010.3	WEST	OffPeak	Madrona	Yes	Yes	One-Zone	392,554	5,282	$357,264	$952,558	447,118	1,665,654	11,757	8,169	41,754	39,658	493,794	74.32	38%	84.65	0.27	33.39	0.65	48.05	42.0	10.71	11.27
3	S		2010.3	WEST	Peak	Madrona	Yes	Yes	One-Zone	386,639	4,226	$540,405	$734,964	386,679	1,267,794	9,395	6,150	36,741	30,186	394,590	91.48	74%	91.49	0.31	41.15	0.69	62.87	42.0	10.52	12.81
3	S	TB	2010.3	WEST	OffPeak	First Hill	Yes	Yes	One-Zone	455,259	4,369	$414,331	$692,019	364,701	1,085,780	12,240	6,065	26,500	25,852	514,080	104.20	60%	83.47	0.34	37.19	0.72	75.07	42.0	13.76	14.11
3	S	TB	2010.3	WEST	Peak	First Hill	Yes	Yes	One-Zone	90,781	1,028	$126,884	$197,334	64,645	252,629	2,518	1,739	7,275	6,015	105,756	88.35	64%	62.91	0.26	36.05	0.59	52.20	42.0	8.89	10.75
4	N		2010.3	WEST	Night	East Queen Anne	No	No	One-Zone	158,822	2,672	$146,069	$529,359	203,223	1,205,547	7,909	4,345	28,950	28,703	332,178	59.44	28%	76.06	0.17	20.08	0.61	36.55	42.0	7.02	7.08
4	N		2010.3	WEST	OffPeak	East Queen Anne	No	No	One-Zone	350,250	3,464	$322,124	$593,567	473,486	1,427,706	9,556	4,819	34,030	33,993	401,352	101.11	54%	136.69	0.33	36.65	0.72	72.68	42.0	13.91	13.93
4	N		2010.3	WEST	Peak	East Queen Anne	No	No	One-Zone	267,982	2,540	$387,046	$403,366	373,350	1,022,883	6,869	3,226	24,548	24,354	288,498	105.52	96%	147.01	0.36	39.01	0.79	83.06	42.0	15.21	15.33
4	N	NT	2010.3	WEST	Night	East Queen Anne	No	No	One-Zone	106,121	2,438	$111,231	$376,755	128,825	1,132,183	6,298	2,866	27,294	26,957	264,516	43.52	30%	52.84	0.11	16.85	0.85	37.03	42.0	4.72	4.78
4	S		2010.3	WEST	Night	Judkins Park	Yes	Yes	One-Zone	184,865	4,402	$170,021	$765,883	254,824	1,735,601	10,388	6,182	44,973	41,324	436,296	42.00	22%	57.89	0.15	17.80	0.71	29.91	42.0	5.67	6.17
4	S		2010.3	WEST	OffPeak	Judkins Park	Yes	Yes	One-Zone	456,679	6,298	$420,007	$1,137,926	576,507	2,131,547	12,056	9,665	52,634	50,751	506,352	72.51	37%	91.54	0.27	37.88	0.65	47.25	42.0	10.95	11.36
4	S		2010.3	WEST	Peak	Judkins Park	Yes	Yes	One-Zone	356,963	4,305	$515,562	$745,098	427,956	1,356,119	7,889	6,205	38,116	32,289	331,338	82.92	69%	99.42	0.32	45.25	0.69	57.53	42.0	11.23	13.25
5	 		2010.3	WEST	Night	Shoreline CC	No	No	Two-Zone	329,261	7,372	$307,595	$1,471,775	1,199,558	6,444,511	11,246	11,350	154,432	116,952	619,306	44.66	21%	162.71	0.19	29.28	0.65	29.01	55.1	7.77	10.26
5	 		2010.3	WEST	OffPeak	Shoreline CC	No	No	Two-Zone	590,708	8,845	$551,839	$1,596,127	1,962,556	7,405,507	12,091	12,476	149,943	124,429	719,590	66.79	35%	221.89	0.27	48.86	0.71	47.35	59.5	13.09	15.77
5	 		2010.3	WEST	Peak	Shoreline CC	No	No	Two-Zone	322,298	4,981	$541,923	$999,546	1,124,523	3,663,579	6,096	7,513	103,933	61,948	359,034	64.70	54%	225.75	0.31	52.87	0.66	42.90	58.9	10.82	18.15
5	 	ALT	2010.3	WEST	Night	Northgate TC	No	No	One-Zone	100,705	2,022	$94,079	$383,000	333,496	1,572,334	2,607	2,971	36,433	26,043	157,326	49.81	25%	164.96	0.21	38.63	0.68	33.90	60.3	9.15	12.81
5	 	ALT	2010.3	WEST	OffPeak	Northgate TC	No	No	One-Zone	385,933	6,823	$360,538	$1,064,678	1,279,568	5,218,170	9,074	8,581	95,154	89,968	526,292	56.56	34%	187.54	0.25	42.53	0.80	44.97	58.0	13.45	14.22
5	 	ALT	2010.3	WEST	Peak	Northgate TC	No	No	One-Zone	262,051	3,859	$436,944	$611,388	783,666	2,698,762	4,590	4,781	58,158	45,979	269,280	67.91	71%	203.07	0.29	57.09	0.81	54.81	58.7	13.47	17.04
5	 	EX	2010.3	WEST	Peak	Greenwood	No	No	One-Zone	147,427	2,091	$245,820	$489,034	634,057	1,306,253	3,060	3,842	48,052	23,118	172,890	70.51	50%	303.23	0.49	48.18	0.54	38.37	56.5	13.20	27.43
7	 		2010.3	WEST	Night	Rainier Beach	Yes	Yes	One-Zone	161,883	3,785	$137,245	$676,554	494,866	2,532,229	4,525	4,400	49,812	45,922	248,092	42.77	20%	130.76	0.20	35.78	0.86	36.79	54.8	9.93	10.78
7	 		2010.3	WEST	OffPeak	Rainier Beach	Yes	Yes	One-Zone	328,163	6,165	$278,216	$1,030,799	874,146	3,683,275	5,909	6,793	65,884	65,773	330,904	53.23	27%	141.79	0.24	55.54	0.91	48.31	56.0	13.27	13.29
7	 		2010.3	WEST	Peak	Rainier Beach	Yes	Yes	One-Zone	161,288	3,106	$156,885	$524,331	469,296	1,729,639	2,751	3,565	31,432	30,886	154,056	51.93	30%	151.10	0.27	58.63	0.87	45.24	56.0	14.93	15.19
